commit	avg_latency_ms	status	description
0cc6daf	1.524421	keep	baseline: user-reported full benchmark on current kernel
bd4cfe7	1.264368	keep	grouped gemm2 launch ordering for better L2 weight reuse
cd5efea	1.253316	keep	gemm2 launch tune: num_warps=8 num_stages=3
4c798b7	1.434579	discard	gemm1 launch tune: num_warps=8 num_stages=4 (regression)
4368a60	1.300211	discard	gemm2 launch tune: GROUP_BLOCKS=16 (regression)
784f034	0.000	crash	block-m64 caused INCORRECT_NUMERICAL on 3 workloads
d7ea2a9	0.000	crash	gemm2 bf16xfp8 dot path caused RUNTIME_ERROR on all workloads
2f032b2	1.243421	keep	gemm2 launch tune: GROUP_BLOCKS=4 improved reuse/locality balance
d217f8a	1.309000	discard	gemm2 launch tune: GROUP_BLOCKS=2 (regression)
700a3fa	1.255211	discard	gemm2 launch tune: GROUP_BLOCKS=6 (regression)
623159f	1.296895	discard	gemm2 load cache modifiers (.cv/.cg) regressed
f99f297	1.314842	discard	gemm2 launch tune: GROUP_BLOCKS=4 with num_stages=2 regressed
a6ed728	1.287053	discard	gemm2 launch tune: GROUP_BLOCKS=4 with num_warps=4 regressed
aef20fc	1.300947	discard	gemm2 launch tune: GROUP_BLOCKS=5 (regression)
68e23b1	1.510000	discard	gemm1 launch tune: num_stages=2 caused major regression
42becc0	1.301000	discard	routing dispatch argsort+bincount(flat_sort_key) regressed
ceada5e	1.444579	discard	gemm1 launch tune: num_warps=8 regressed
56c301d	1.262895	discard	gemm2 launch tune: num_stages=4 regressed
a22a90b	1.569053	discard	gemm2 loop unroll via static_range regressed badly
142b53d	0.000	crash	gemm2 fp16 dot path produced INCORRECT_NUMERICAL on most workloads
fc22d07	1.248105	discard	gemm2 launch tune: GROUP_BLOCKS=3 close but slower than best
58bc57f	1.261579	discard	routing sort stable=False regressed average latency
adbc3b8	1.324316	discard	gemm2 2D grid with block_id-fastest order regressed
0e35171	0.000	crash	block-m48 caused RUNTIME_ERROR on all workloads
ea94225	0.000	crash	block-m64 retest still INCORRECT_NUMERICAL on 3 workloads
a6c24ee	1.717474	discard	split BLOCK_M (32 GEMM1 / 64 GEMM2) regressed heavily
2028dac	0.000	crash	direct BF16 output accumulation caused INCORRECT_NUMERICAL
